Series ID,Category,Train Size,Test Size,Model,Train Time (s),Predict Time (s),Trend Strength,Seasonality Strength,Noise Level,MAE,RMSE,MAPE,sMAPE
M13966,Micro,293,18,RNN,3.4512109756469727,4.503911256790161,0.7919580071184589,0.7506496710548745,98.39536043849743,1032.2440884845312,1063.4747348378562,99.39481278509206,197.59429586536777
M13966,Micro,293,18,LSTM,3.060750961303711,1.429875135421753,0.7919580071184589,0.7506496710548745,98.39536043849743,1037.341338570269,1068.4695557919144,99.90116109375812,199.60525269978703
M13966,Micro,293,18,GRU,3.788508892059326,2.534611940383911,0.7919580071184589,0.7506496710548745,98.39536043849743,1035.9740623967705,1067.155656251609,99.7640714812283,199.05941191382703
M13966,Micro,293,18,TCN,6.167891979217529,0.6714057922363281,0.7919580071184589,0.7506496710548745,98.39536043849743,1156.0371376736111,1183.3225654935884,119.63658978965006,72.94128307527927
M14092,Micro,159,18,ARIMA,0.0381050109863281,0.0029082298278808,0.9848589478323084,-0.0036878278301273,290.6578731086848,1611.953195958734,1695.3952236994548,23.29322875028871,20.594705919372473
M14092,Micro,159,18,SARIMA,0.2812039852142334,0.0016109943389892,0.9848589478323084,-0.0036878278301273,290.6578731086848,1951.8080684904112,2066.335898342655,28.212551867175577,24.32214626103148
M14092,Micro,159,18,Holt-Winters,0.0390710830688476,0.0016260147094726,0.9848589478323084,-0.0036878278301273,290.6578731086848,1839.1024331143376,1938.5332836533537,26.56472735509963,23.11148948626523
M14092,Micro,159,18,DLM,0.0447731018066406,0.0013458728790283,0.9848589478323084,-0.0036878278301273,290.6578731086848,1479.7785656591711,1559.7968498244288,21.372655452127702,19.08066463771219
M14092,Micro,159,18,RNN,2.4320058822631836,1.845470905303955,0.9848589478323084,-0.0036878278301273,290.6578731086848,7146.18052011066,7174.779111499079,99.94679364991968,199.7872887055293
M14092,Micro,159,18,LSTM,3.247087001800537,2.0546820163726807,0.9848589478323084,-0.0036878278301273,290.6578731086848,7149.5167546264,7178.127124068708,99.99349260020168,199.97397271548485
M14092,Micro,159,18,GRU,3.6834700107574463,1.7904057502746582,0.9848589478323084,-0.0036878278301273,290.6578731086848,7149.352742734883,7177.93789433363,99.99149670412594,199.9659917738547
